"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 1 ",579,405,444,289,228,421,645,325,1495,863,883,317,3488,993,327,1015,648,272,511,0
"otu 2 ",345,353,362,304,176,277,489,230,1215,729,779,229,1587,602,268,674,504,352,423,0
"otu 3 ",449,231,345,158,204,302,522,254,913,581,723,399,1175,465,284,588,438,349,482,0
"otu 4 ",430,69,502,164,231,357,583,388,1089,853,897,471,472,200,158,404,314,147,206,0
"otu 5 ",154,140,189,180,130,104,307,179,453,443,417,169,338,402,151,476,470,582,596,0
"otu 6 ",470,41,331,181,244,353,476,275,1182,872,637,216,115,25,23,17,11,0,0,0
"otu 7 ",282,96,243,163,152,240,396,214,861,579,560,238,325,167,123,282,195,130,210,0
"otu 8 ",184,190,321,89,83,41,125,71,75,507,515,120,1211,381,207,261,213,286,438,0
"otu 9 ",45,69,167,89,109,158,202,113,769,409,426,241,434,307,178,205,176,113,146,0
"otu 10 ",158,106,130,78,67,155,229,88,269,198,288,149,609,298,207,242,276,197,225,0
"otu 11 ",17,102,168,42,78,269,317,178,448,411,478,61,55,171,61,45,16,19,27,103
"otu 12 ",217,40,146,98,111,146,258,147,560,432,301,98,41,0,0,0,0,0,0,0
"otu 13 ",52,129,12,103,43,16,22,4,147,18,88,64,330,94,48,422,117,145,182,0
"otu 14 ",104,28,65,64,61,81,125,58,292,199,164,75,107,61,38,106,73,65,72,0
"otu 15 ",93,325,33,12,9,11,15,25,74,56,42,19,368,46,87,57,40,45,99,0
"otu 16 ",80,0,103,52,40,113,126,35,306,270,177,30,17,24,36,0,0,6,0,0
"otu 17 ",100,0,149,116,0,0,195,0,260,259,82,0,70,0,57,0,0,0,0,0
"otu 18 ",69,31,43,30,20,45,105,35,143,117,119,49,190,103,37,39,22,22,38,0
"otu 19 ",67,109,6,7,0,6,5,3,41,55,4,5,402,342,17,74,39,20,42,0
"otu 20 ",65,0,0,0,0,0,121,78,339,274,237,0,44,0,19,12,10,0,0,0
"otu 21 ",42,53,45,0,12,45,39,17,121,112,149,19,30,123,10,29,39,117,26,0
"otu 22 ",44,14,86,35,67,14,13,78,79,94,266,140,17,0,0,0,0,0,0,0
"otu 23 ",280,57,51,13,0,15,11,18,50,26,47,0,147,32,38,46,13,47,32,0
"otu 24 ",54,136,15,6,0,0,8,48,15,52,0,23,296,0,55,37,30,30,49,0
"otu 25 ",26,8,57,14,0,13,20,16,110,183,103,54,34,23,25,27,49,22,39,0
"otu 26 ",70,69,0,0,0,0,0,19,10,12,8,6,337,43,57,67,13,57,45,0
"otu 27 ",75,103,0,0,0,0,6,36,34,8,6,6,200,15,52,109,48,39,51,0
"otu 28 ",31,45,9,0,14,20,18,36,33,14,46,32,146,19,49,47,13,44,64,0
"otu 29 ",43,120,36,0,4,10,11,35,17,22,36,0,109,8,45,20,8,49,93,0
"otu 30 ",57,141,0,0,0,0,0,0,0,0,24,0,284,20,35,40,0,0,56,0
"otu 31 ",62,25,12,21,22,0,0,0,51,58,46,0,59,22,78,42,35,61,52,0
"otu 32 ",28,30,57,8,24,10,18,23,47,44,146,85,41,9,0,21,0,8,15,0
"otu 33 ",74,72,22,10,13,16,13,23,12,9,45,31,83,8,43,47,8,31,41,0
"otu 34 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590
"otu 35 ",34,103,0,0,0,0,0,0,0,0,0,0,185,9,16,23,12,74,95,0
